Seøazené výsledky.
Tabulka výsledkù úèastníkù roztøídìných podle závodù a kategorií, a seøazených podle èasu.
Datum a èas exportu: 2018-06-22 18:53:01



Info o soutìži:

Název této soutìže: mùj závod
Další info: místo konání... závody, kategorie, dìtské závody
Nároèná trasa v èlenitém terénu plná kamení, koøenù a dìr. Samé prudké kopce.



Výsledky:

Název závodu;Název kategorie;ID skupiny;Název skupiny;Startovní èíslo;Èas;Korekce;Umístìní v kategorii;Umístìní v závodì;ID úèastníka;Pøíjmení;Jméno;Klub / team / obec / skupina;Pohlaví;Rok narození;Zaøadit;L7 #1 poznámka;L7 #2 poznámka;L1 Priorita poøadí;L2 Priorita poøadí
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Muži, 7 km, senioøi;;;Muži 18 - 39;;;;;;;;;;;;;;;;
m7s;m39;0;m7s-m39;13;000:00:20.000;2;1;1;11;Milánek;Milan;io;M;1988;1;;;1;1
m7s;m39;0;m7s-m39;1;000:00:20.000;4;2;3;0;Pøemysl;Pøemy;aaa;M;1990;1;;;1;1
m7s;m39;0;m7s-m39;14;000:00:20.200;3;3;5;10;František;Franta;llll;M;1990;1;;;1;1
m7s;m39;0;m7s-m39;12;000:00:21.000;2;4;6;12;Václavec;Václav;io;M;1990;1;;;1;1
m7s;m39;0;m7s-m39;2;000:00:21.000;4;5;7;1;Tomaš;Tom;wsad;M;1991;1;;;1;1
m7s;m39;0;m7s-m39;4;000:00:20.000;3;100001;100001;9;Martínek;Martin;jj;M;1990;0;;;1;1
m7s;m39;0;m7s-m39;3;000:00:21.000;3;100002;100002;2;Jan;Honza;abc;M;1992;0;;;1;1
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Muži, 7 km, senioøi;;;Muži 40 - 49;;;;;;;;;;;;;;;;
m7s;m49;1;m7s-m49;8;000:00:20.000;3;1;2;4;Michálek;Michal;gg;M;1976;1;;;1;2
m7s;m49;1;m7s-m49;7;000:00:20.000;4;2;4;3;Petøík;Petr;acc;M;1975;1;;;1;2
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Ženy, 7 km, senioøi;;;Ženy 18 - 34;;;;;;;;;;;;;;;;
f7s;f34;2;f7s-f34;11;000:00:21.000;2;1;1;18;Radková;Radka;ww;F;1990;1;;;2;11
f7s;f34;2;f7s-f34;6;000:00:21.000;4;2;3;6;Helenová;Helena;jj;F;1991;1;;;2;11
f7s;f34;2;f7s-f34;5;000:00:21.000;3;100001;100001;5;Vladìnová;Vladìna;hh;F;1990;0;;;2;11
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Ženy, 7 km, senioøi;;;Ženy 35 - 44;;;;;;;;;;;;;;;;
f7s;f44;3;f7s-f44;9;000:00:21.000;2;1;2;7;Danielová;Daniela;kk;F;1980;1;;;2;12
f7s;f44;3;f7s-f44;10;000:00:21.000;4;2;4;8;Andreová;Andrea;kk;F;1981;1;;;2;12
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Muži, 2 km, junioøi;;;Muži nebo ženy 15 - 17;;;;;;;;;;;;;;;;
m2j;mf17;4;m2j-mf17;2;000:00:30.000;2;1;1;14;Marek;Mára;io;M;2003;1;;;3;21
m2j;mf17;4;m2j-mf17;3;000:00:30.000;6;2;2;15;Jakub;Kuba;tt;M;2004;1;;;3;21
m2j;mf17;4;m2j-mf17;1;000:00:30.000;6;100001;100001;13;Miroslav;Míra;uu;M;2003;0;;;3;21
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Ženy, 2 km, junioøi;;;Muži nebo ženy 15 - 17;;;;;;;;;;;;;;;;
f2j;mf17;7;f2j-mf17;2;000:00:30.000;3;1;1;19;Gábová;Gabriela;io;F;2004;1;;;4;21
f2j;mf17;7;f2j-mf17;1;000:00:30.000;7;2;2;20;Michaelová;Míša;io;F;2003;1;;;4;21
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Muži, 1 km, junioøi;;;Muži nebo ženy 12 - 14;;;;;;;;;;;;;;;;
m1j;mf14;5;m1j-mf14;2;000:00:30.000;2;1;1;17;Petøina;Petr;ee;M;2005;1;;;5;31
m1j;mf14;5;m1j-mf14;1;000:00:30.000;4;2;2;16;Ivánek;Ivan;tt;M;2006;1;;;5;31
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;


